Ticker,Quandl_Code,Name,Exchange,Last Trade Date
A,EOD/A,Agilent Technologies Inc.,NYSE,2021-03-16
AA,EOD/AA,Alcoa Corporation,NYSE,2021-03-16
AAA,EOD/AAA,AAF First Priority CLO Bond ETF,NYSE Arca,2021-03-16
AAAU,EOD/AAAU,Goldman Sachs Physical Gold ETF,NYSE Arca,2021-03-16
AAC.U,EOD/AAC_U,Ares Acquisition Corporation Units each consisting of one Class A ordinary share and one-fifth of one redeemable warrant,NYSE,2021-03-16
AACG,EOD/AACG,ATA Creativity Global,NASDAQ,2021-03-16
AACQ,EOD/AACQ,Artius Acquisition Inc.,NASDAQ,2021-03-16
AACQU,EOD/AACQU,Artius Acquisition Inc. Unit consisting of one ordinary share and one third redeemable warrant,NASDAQ,2021-03-16
AACQW,EOD/AACQW,Artius Acquisition Inc. Warrant,NASDAQ,2021-03-16
AADR,EOD/AADR,AdvisorShares Dorsey Wright ADR ETF,NYSE Arca,2021-03-16
AAIC,EOD/AAIC,Arlington Asset Investment Corp Class A (new),NYSE,2021-03-16
AAIC.P.B,EOD/AAIC_P_B,Arlington Asset Investment Corp 7.00%,NYSE,2021-03-16
AAIC.P.C,EOD/AAIC_P_C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE,2021-03-16
AAL,EOD/AAL,American Airlines Group Inc.,NASDAQ,2021-03-16
AAMC,EOD/AAMC,Altisource Asset Management Corp Com,NYSE MKT,2021-03-16
AAME,EOD/AAME,Atlantic American Corporation,NASDAQ,2021-03-16
AAN,EOD/AAN,Aarons Holdings Company Inc.,NYSE,2021-03-16
AAOI,EOD/AAOI,Applied Optoelectronics Inc.,NASDAQ,2021-03-16
AAON,EOD/AAON,AAON Inc.,NASDAQ,2021-03-16
MSFT,EOD/MSFT,Microsoft Corporation,NASDAQ,2021-03-16
